نام,آدرس,نوع پست,ظرفیت,فیدر,کد شناسایی
کهنسال,کهنسال,عمومى,400,معلم - فیدر باقرآباد,E3101@00000SP03946
خیابان تختی بلوار جوان صداقت,خیابان تختی بلوار جوان,عمومى,125,معلم - فیدر انصاری,E3101@00000SP03948
بازدیدی,خیابان تختی,عمومى,500,معلم - فیدر باقرآباد,E3101@00000SP03949
شهمیری,تخته پل کوی طالقانی,عمومى,200,توحید - فیدر پیربازار,E3101@00000SP03957
خیابان117,گلسار خیابان117,عمومى,500,شهید مقدم - فیدر گلسار 7,E3101@00000SP03964
موسسه کادووس,بلوار انصاری خیابان ارشاد,عمومى,400,شهید مقدم - فیدر پردیسان,E3101@00000SP03965
مهر افزا,بلوار انصاری خیابان ارشاد,اختصاصی,315,شهید مقدم - فیدر پردیسان,E3101@00000SP03966
نانوایی حاجی عباسی,"رشت، بلوارانصاری-انتهای ارشاد-نبش کوچه ی شهید موسی نژاد",عمومى,500,شهید مقدم - فیدر پردیسان,E3101@00000SP03967
کوچه پاییز,گلسار خیابان 122,عمومى,315,شهید مقدم - فیدر گلسار 7,E3101@00000SP03968
خانه های استانداری,بلوار انصاری خیابان ارشاد,عمومى,400,شهید مقدم - فیدر پردیسان,E3101@00000SP03969
لادن,گلسار خیابان 125,عمومى,500,شهید مقدم - فیدر گلسار 7,E3101@00000SP03970
خیابان 171,بلوار استاد معین خیابان 171,عمومى,500,توحید - فیدر گلایل,E3101@00000SP03971
منگوده تالار آبشار(حسن روحی),منگوده تالار آبشار,عمومی و اختصاصی,200,توحید - فیدر تخته پل,E3101@00000SP03972
منگوده کوچه مسیبی,منگوده کوچه مسیبی,عمومى,250,توحید - فیدر تخته پل,E3101@00000SP03973
پارس3 مسجدباب الحوائج,بلوار انصاری-خ پارس3-نبش کوچه وحدت,عمومی و اختصاصی,400,شهید مقدم - فیدر پردیسان,E3101@00000SP03977
خیابان 157,بلوار گیلان خیابان هدایت انتهای خیابان 157,عمومی و اختصاصی,500,قلی پور - فیدر توحید,E3101@00000SP03978
تقاطع 151 و 159,بلوار گیلان خیابان هدایت تقاطع 151 و 159,عمومى,315,قلی پور - فیدر توحید,E3101@00000SP03979
جنب دیوار پردیسان,بلوار شهید انصاری-جنب دیوار پشتی شهرک پردیسان,عمومى,250,شهید مقدم - فیدر پردیسان,E3101@00000SP03980
گلبرگ153,گلسار خ 153,عمومى,500,قلی پور - فیدر توحید,E3101@00000SP03981
بسیجیان,رشت- جنب مجتمع پردیسان - انتهای پارس 1,عمومى,200,شهید مقدم - فیدر پردیسان,E3101@00000SP03982
پردیسان,پل انصاری خ پارس2 پشت مجتمع پردیسان,عمومى,400,شهید مقدم - فیدر پردیسان,E3101@00000SP03983
خیابان 163,بلوار گیلان خیابان 163,عمومى,500,قلی پور - فیدر توحید,E3101@00000SP03984
کماکلی,پیله داربن کوچه کماکلی,عمومى,200,توحید - فیدر تخته پل,E3101@00000SP03985
امیدواری,جاده پیر بازار  رجب آباد,عمومى,100,توحید - فیدر پیربازار,E3101@00000SP03986
نسترن,بلوار گیلان روبروی خ 180,عمومى,500,توحید - فیدر بلوار گیلان,E3101@00000SP03988
همتی,تخته پل کوچه همتی,عمومى,200,توحید - فیدر پیربازار,E3101@00000SP03989
بلوار گیلان خیابان 180,بلوار گیلان خیابان 180,عمومى,500,توحید - فیدر بلوار گیلان,E3101@00000SP03991
انتهای سهرابی,امین الضرب انتهای کوچه سهرابی,عمومى,500,معلم - فیدر انصاری,E3101@00000SP03992
کوی امینی - علیزاده,کوی امینی - علیزاده,عمومى,500,شهید مقدم - فیدر تختی,E3101@00000SP03993
بهارستان,خیابان دفاع روبروی کوچه بهارستان,عمومی و اختصاصی,400,شهید مقدم - فیدر تختی,E3101@00000SP03994
کوی بهاران,بلوار انصاری مجتمع بهاران,عمومى,315,شهید مقدم - فیدر کانادا,E3101@00000SP03995
خیابان 190,بلوار گیلان خیابان 190,عمومى,400,توحید - فیدر بلوار گیلان,E3101@00000SP03996
لاله2,خیابان دفاع روبروی کوچه لاله 2,عمومى,200,شهید مقدم - فیدر تختی,E3101@00000SP03997
یعقوب زاده2 -بن بست چهارم,بلوار انصاری-خیابان یعقوب زاده-بن بست چهارم,عمومى,250,شهید مقدم - فیدر کانادا,E3101@00000SP03998
خیابان 172,بلوار گیلان خیابان 172,عمومی و اختصاصی,400,توحید - فیدر بلوار گیلان,E3101@00000SP03999
همرنگ نژاد,بلوار احمد زاده داخل کوچه همرنگ نژاد,عمومى,200,شهید مقدم - فیدر تختی,E3101@00000SP04000
بلوار عاطفی مدرسه مطهری,خیابان تختی بلوار عاطفی مدرسه مطهری,اختصاصی,50,معلم - فیدر انصاری,E3101@00000SP04001
عسکری,چهارراه گلسار انتهای کوچه عسگری,عمومى,315,معلم - فیدر انصاری,E3101@00000SP04002
پشت اداره,خیابان یعقوب زاده روبروی کوچه کاج,عمومی و اختصاصی,400,شهید مقدم - فیدر کانادا,E3101@00000SP04003
بلوار توحید نبش کوچه بهمن,بلوار توحید نبش کوچه بهمن,عمومى,315,قلی پور - فیدر توحید,E3101@00000SP04004
خیابان143 (محمودی),بلوار سمیه خیابان143,عمومی و اختصاصی,400,شهید مقدم - فیدر گلسار 7,E3101@00000SP04005
استاد معین کوچه فروردین,بلوار انصاری کوچه استاد معین,عمومى,400,قلی پور - فیدر یادگار امام,E3101@00000SP04006
وحدت1,بلوار انصاری کوچه استاد معین,عمومی و اختصاصی,315,قلی پور - فیدر یادگار امام,E3101@00000SP04007
بلوار دیلمان کوچه شقایق وحدت 3,بلوار دیلمان کوچه شقایق وحدت 3,عمومى,500,شهید مقدم - فیدر گلسار 7,E3101@00000SP04008
دکتر گلچای,بلوار احمدزاده   روبروی بوستان ملت دکتر گلچای,عمومی و اختصاصی,200,شهید مقدم - فیدر کانادا,E3101@00000SP04011
پارکینگ بیمارستان,بلوار سمیه پشت بیمارستان گلسار,عمومی و اختصاصی,315,شهید مقدم - فیدر دیلمان,E3101@00000SP04013
زمین های واحدی,پشت بیمارستان گلسار (دیلمان نبوت سیکاس),عمومى,400,شهید مقدم - فیدر دیلمان,E3101@00000SP04015
نیلوفر,گلسار انتهای خیابان 104,عمومى,500,شهید مقدم - فیدر دیلمان,E3101@00000SP04016
سهرابی,امین الضرب کوچه گل محمدی ( ابتدای سهرابی),عمومى,500,معلم - فیدر انصاری,E3101@00000SP04058
امین الضرب کوچه مادر منزل موقری,امین الضرب کوچه مادر,عمومى,315,معلم - فیدر انصاری,E3101@00000SP04059
جلوی  زمینی فرهنگ ودین,فرهنگ ودین,عمومى,315,معلم - فیدر انصاری,E3101@00000SP04060
فرهنگ ودین کوچه حافظ,فرهنگ ودین کوچه حافظ,عمومى,315,معلم - فیدر انصاری,E3101@00000SP04061
شعف,فرهنگ و دین کوچه مدنی و کوچه رستمی,عمومی و اختصاصی,315,معلم - فیدر انصاری,E3101@00000SP04062
فرهنگ دین کوچه عظیمی,فرهنگ دین دیانتی کوچه عظیمی,عمومى,315,معلم - فیدر انصاری,E3101@00000SP04063
سد کشاورزی,زرجوب سد کشاورزی,عمومى,250,رشت مرکزی - فیدر صیقلان,E3101@00000SP04064
کوچه نمکی,بلوار جوان کوچه نمکی,عمومى,400,رشت مرکزی - فیدر صیقلان,E3101@00000SP04065
حقانی,خیابان تختی کوچه حقانی,عمومى,500,معلم - فیدر باقرآباد,E3101@00000SP04066
پرویزی,خط ماشین کوچه پرویزی,عمومى,500,معلم - فیدر باقرآباد,E3101@00000SP04067
خط ماشین کوچه بهار,خط ماشین کوچه بهار,عمومى,315,معلم - فیدر زرجوب,E3101@00000SP04068
تختی کوچه سهند,خیابان تختی کوچه سهند,عمومى,400,معلم - فیدر باقرآباد,E3101@00000SP04069
سرخبنده,بلوار احسانبخش سرخبنده,عمومى,400,معلم - فیدر زرجوب,E3101@00000SP04070
بلوار احسانبخش,بلوار احسانبخش مجتمع 30 دستگاه,عمومى,200,معلم - فیدر زرجوب,E3101@00000SP04071
بانک صادرات,پیچ سعدی بانک صادرات,عمومى,500,معلم - فیدر انصاری,E3101@00000SP04072
بیجارخاله دوم,بیجارخاله ترانس دوم جدید,عمومى,75,توحید - فیدر پیربازار,E3101@00000SP04091
شهرک امام علی 3,بلوار دیلمان شهرک امام علی 3,عمومى,200,شهید مقدم - فیدر دیلمان,E3101@00000SP04092
شهرک امام علی-گل مریم,بلوار دیلمان شهرک امام علی-گل مریم,عمومى,250,شهید مقدم - فیدر دیلمان,E3101@00000SP04093
خط ماشین,خیابان سعدی خط ماشین,عمومی و اختصاصی,315,معلم - فیدر زرجوب,E3101@00000SP04127
خیابان 169,بلوار گیلان خ 169,عمومى,315,توحید - فیدر گلایل,E3101@00000SP04130
پیراسته,خنفچه,عمومى,25,توحید - فیدر پیربازار,E3101@00000SP04131
مدرسه کمیل,خنفچه,عمومى,125,توحید - فیدر پیربازار,E3101@00000SP04132
پرورش مرغ ماشینچی,خنفچه,اختصاصی,50,توحید - فیدر پیربازار,E3101@00000SP04133
خنفچه دادرس,خنفچه,عمومى,50,توحید - فیدر پیربازار,E3101@00000SP04134
مرغ دستاری,خنفچه,اختصاصی,100,توحید - فیدر پیربازار,E3101@00000SP04135
مسجدخنفچه,خنفچه,عمومى,100,توحید - فیدر پیربازار,E3101@00000SP04136
بتون آماده - جعفری,کفترود,اختصاصی,200,توحید - فیدر پیربازار,E3101@00000SP04137
داخل بوستان پنجم,خیابان میرابوالقاسمی,عمومى,200,شهید مقدم - فیدر گلسار 6,E3101@00000SP04138
نوین,خیابان تختی انتهای کوچه بازدیدی پشت مدرسه توحید,عمومی و اختصاصی,400,معلم - فیدر باقرآباد,E3101@00000SP04139
چاه آب موسی و خلیل خورگامی,خنفچه,عمومى,25,طالقانی - فیدر علی آباد,E3101@00000SP04148
نگین شمال,جاده پیر بازار - رستوران نگین شمال,اختصاصی,50,توحید - فیدر پیربازار,E3101@00000SP04154
خیابان سید علیزاده,خیابان سید علیزاده,عمومى,315,سیار جانبازان - فیدر جانبازان,E3101@00000SP04167
امرالله زاده,ورودی یک شهرک پردیسان,عمومى,200,شهید مقدم - فیدر پردیسان,E3101@00000SP04185
خیابان 192 ,خیابان 192 - کوچه پنجم- زیر خط,عمومى,315,توحید - فیدر استاد معین,E3101@00000SP04186
دارو پوش,بلوار خرمشهر - کوچه حافظ - شهرک دارو پوش,عمومى,315,شهید مقدم - فیدر خرمشهر,E3101@00000SP04187
مبل دنیز,بلوار انصاری پشت صنایع دستی  جلوی ساختمان مبل دنیز,عمومی و اختصاصی,315,شهید مقدم - فیدر کانادا,E3101@00000SP04189
انتهای گالش خیل,سه راهی پیر بازار - روستای گالش خیل,عمومى,50,توحید - فیدر پیربازار,E3101@00000SP04191
خیابان 93,گلسار - انتهای خیابان 93,عمومى,315,قلی پور - فیدر توحید,E3101@00000SP04192
منگوده - گلستان 8,منگوده - کوچه گلستان 8,عمومى,75,توحید - فیدر پیربازار,E3101@00000SP04215
شیرینی الف,بلوار نماز - شیرینی الف,اختصاصی,100,قلی پور - فیدر یادگار امام,E3101@00000SP04216
ابتدای 20 متری گاز,پستک - ابتدای 20 متری گاز,عمومى,315,توحید - فیدر گلایل,E3101@00000SP04217
صندوق کار آفرینی امید,بلوار انصاری  صندوق کار آفرینی امید,اختصاصی,100,شهید مقدم - فیدر تختی,E3101@00000SP04218
امام سجاد,خیابان عرفان کویخ مسجد امام سجاد,عمومى,125,پوشش - فیدر هلال احمر,E3101@00000SP04219
عرفان یک,ج انزلی عرفان یک,عمومى,200,پوشش - فیدر هلال احمر,E3101@00000SP04223
بلوار انصاری جنب فرمانداری,بلوار انصاری جنب فرمانداری,عمومى,315,شهید مقدم - فیدر تختی,E3101@00000SP04224
گلسار انتهای خیابان 132  دوم,گلسار انتهای خیابان 132,عمومى,125,شهید مقدم - فیدر گلسار 7,E3101@00000SP04225
پشت نظام مهندسی,بلوار انصاری پشت نظام مهندسی,عمومى,315,شهید مقدم - فیدر تختی,E3101@00000SP04226
کمیته امداد,خیابان شهدا کمیته امداد,عمومی و اختصاصی,315,شهید مقدم - فیدر دیانتی,E3101@00000SP04227
روبروی بن بست 11,خ192-بیست متری گاز-روبروی بن بست 11,عمومى,400,توحید - فیدر بیست متری گاز,E3101@00000SP04232
مدرسه آزادی,بیست متری دافساری جنب مدرسه آزادی,عمومی و اختصاصی,500,شهید مقدم - فیدر دیانتی,E3101@00000SP04234
بسیت متری دافساری کوچه فداکار,بسیت متری دافساری کوچه فداکار,عمومى,200,شهید مقدم - فیدر دیانتی,E3101@00000SP04235
کوی حسینی کوچه 47 جانباز,کوی حسینی کوچه 47 جانباز,عمومى,200,قلی پور - فیدر کوی حسینی,E3101@00000SP04236
ماهی رودخان جهاد خانه سازی,پارس 3 ماهی رودخان جهاد خانه سازی,عمومى,200,شهید مقدم - فیدر دیانتی,E3101@00000SP04238
روشنایی معابر مبارک آباد,روشنایی معابر ورودی مبارک آباد,اختصاصی,50,توحید - فیدر پیربازار,E3101@00000SP04240
هوایی خ 168,خ 168 گلسار,عمومى,315,قلی پور - فیدر توحید,E3101@00000SP04242
قبل از برنجکوبی جهانی,دوچی پایه بست قبل از برنجکوبی جهانی,عمومى,100,پوشش - فیدر هلال احمر,E3101@00000SP04244
ضمیریان,سعدی باقرآباد کوچه ضمیریان,عمومی و اختصاصی,250,معلم - فیدر باقرآباد,E3101@00000SP04245
خ 126 کوچه شکوفه,خ 126 کوچه شکوفه نرسیده به مجتمع افرا,عمومى,200,توحید - فیدر استاد معین,E3101@00000SP04246
موسسه مهرپویای گیل,بل انصاری ارشاد نبش پردیسان موسسه مهرپویای گیل,اختصاصی,315,شهید مقدم - فیدر پردیسان,E3101@00000SP04247
یاس سوم,گلسار انتهای خ 100 یاس 3 خیابان  بن بست یاس سوم,عمومى,200,قلی پور - فیدر فرهنگیان,E3101@00000SP04248
ماهی رودخان انتهای کوچه 6,ماهی رودخان انتهای کوچه 9,عمومى,200,شهید مقدم - فیدر پردیسان,E3101@00000SP04251
گلستان 18 منگوده,منگوده گلستان 18,عمومى,100,توحید - فیدر پیربازار,E3101@00000SP04252
کوچه محرم,نظام مهندسی کوچه محرم,اختصاصی,100,شهید مقدم - فیدر گلسار 7,E3101@00000SP04254
روبروی بوستان 13,میرابوالقاسمی  روبروی بوستان 13,عمومی و اختصاصی,315,شهید مقدم - فیدر دیلمان,E3101@00000SP04257
بوستان 13,بوستان 13 خ میرابوالقاسمی,عمومی و اختصاصی,400,شهید مقدم - فیدر دیلمان,E3101@00000SP04258
طش شیرمحمدی,طش شیرمحمدی,عمومى,100,پوشش - فیدر خمام,E3101@00000SP04259
انتهای پارس یک,بلوار انصاری خ دفاع انتهای پارس یک,عمومى,200,شهید مقدم - فیدر پردیسان,E3101@00000SP04261
خ122 نبش کوچه بوستان,گلسار  خ122 نبش کوچه بوستان,عمومى,315,توحید - فیدر استاد معین,E3101@00000SP04262
گورابجیری,جاده چوکام  برنجکوبی گورابجیری,اختصاصی,125,توحید - فیدر پیربازار,E3101@00000SP04263
سحرخیز,جاده انزلی کوی سحرخیز داروغه,عمومى,200,پوشش - فیدر هلال احمر,E3101@00000SP04264
برنجکوبی ندایی,پیربازار جاده چوکام کوچه دانا,اختصاصی,250,توحید - فیدر پیربازار,E3101@00000SP04265
بلوار انصاری کوچه مستشاری,بلوار انصاری کوچه مستشاری,عمومى,400,شهید مقدم - فیدر کانادا,E3101@00000SP04266
برنجکوبی دوستدار,روستای سوقه برنجکوبی دوستدار,اختصاصی,160,پوشش - فیدر خمام,E3101@00000SP04267
کیژده ,کیژده کوچه 16,عمومى,200,سیار جانبازان - فیدر جانبازان,E3101@00000SP04268
مشخ بن بست بهاران,مشخ بن بست بهاران,عمومى,200,قلی پور - فیدر مجتمع آزادگان,E3101@00000SP04269
کوچه آزادی,پیربازار کوچه آزادی,عمومى,200,توحید - فیدر پیربازار,E3101@00000SP04271
کوچه ساسان,دافساری کوچه ساسان,عمومى,400,شهید مقدم - فیدر دیانتی,E3101@00000SP04272
کوی حسینی یاس5,کوی حسینی کوچه 39 یاس5,عمومى,500,قلی پور - فیدر کوی حسینی,E3101@00000SP04273
خیابان میر ابوالقاسمی بوستان 12,خیابان میر ابوالقاسمی بوستان 12,عمومى,400,توحید - فیدر استاد معین,E3101@00000SP04274
کوچه دهقان,بلوار انصاری بلوار احمدزاده نبش کوچه دهقان,عمومى,200,شهید مقدم - فیدر کانادا,E3101@00000SP04276
زرین مرغک ماهان,منگوده گلستان 8,اختصاصی,100,توحید - فیدر پیربازار,E3101@00000SP04277
انتهای کوچه دانا,جاده پیربازار به خمام انتهای کوچه دانا,عمومى,100,توحید - فیدر پیربازار,E3101@00000SP04278
خانه بهداشت آلمان,خانه بهداشت آلمان,عمومى,200,شهید مقدم - فیدر رینگ شهر,E3101@00000SP04279
فروشگاه احمدی,کوچه اول پستک فروشگاه احمدی,اختصاصی,125,توحید - فیدر گلایل,E3101@00000SP04280
کوی یخ انتهای بهارستان,کویخ انتهای بهارستان,عمومى,100,پوشش - فیدر هلال احمر,E3101@00000SP04281
پاسگاه پیربازار,پاسگاه پیربازار,اختصاصی,75,توحید - فیدر پیربازار,E3101@00000SP04282
چهارراه دهسرا,چهارراه دهسرا,عمومى,200,شهید مقدم - فیدر رینگ شهر,E3101@00000SP04283
سرای محله,شهرک امام علی جنب ساختمان شهرداری,اختصاصی,100,شهید مقدم - فیدر رینگ شهر,E3101@00000SP04284
کوچه 17 کوی حسینی,کوچه هفدهم کوی حسینی,عمومى,200,قلی پور - فیدر کوی حسینی,E3101@00000SP04285
امین الضرب کوچه گل محمدی,امین الضرب کوچه گل محمدی ( کوچه مازیار),عمومى,200,معلم - فیدر انصاری,E3101@00000SP04286
دوآب مردخ بهارستان9,دوآب مردخ بهارستان9,عمومى,100,پوشش - فیدر خمام,E3101@00000SP04287
مجتمع پارس مسکن خزر,چهاراه گلسار خ بنت الهدی مجتمع پارس مسکن خزر,عمومى,200,قلی پور - فیدر نواب,E3101@00000SP04288
آتش نشانی,شهرک امام علی اتش نشانی,عمومی و اختصاصی,250,شهید مقدم - فیدر دیلمان,E3101@00000SP04289
بلوار جوان ک 11,بلوار جوان  ک 11,عمومى,315,رشت مرکزی - فیدر صیقلان,E3101@00000SP04290
انتهای کوچه 23 کوی حسینی,کوی حسینی انتهای کوچه 23,عمومى,200,قلی پور - فیدر شهید رجایی,E3101@00000SP04291
گالشخیل شهید قاسمی,گالشخیل شهید قاسمی,عمومى,100,توحید - فیدر پیربازار,E3101@00000SP04292
کوچه شریفی,بیست متری گاز کوچه شریفی,عمومی و اختصاصی,200,توحید - فیدر پیربازار,E3101@00000SP04293
پارس سه باب الحواحج دوم,پارس سه باب الحواحج دوم,عمومى,315,شهید مقدم - فیدر پردیسان,E3101@00000SP04294
هشت متری فجر دوم,پارس2 هشت متری فجر ترانس دوم,عمومى,200,شهید مقدم - فیدر تختی,E3101@00000SP04295
مدرسه عبدی نژاد,کیژده کوچه تختی مدرسه عبدی نژاد,عمومى,200,سیار جانبازان - فیدر جانبازان,E3101@00000SP04296
کیژده کوچه هشتم,کیژده کوچه هشتم(8),عمومى,200,سیار جانبازان - فیدر جانبازان,E3101@00000SP04297
پستک بین کوچه 45 و 47,پستک بین کوچه 45 و 47,عمومى,315,شهید مقدم - فیدر رینگ شهر,E3101@00000SP04299
بلوار سمیه نبش خیابان 130,بلوار سمیه نبش خیابان 130 ترانس دوم,عمومى,315,شهید مقدم - فیدر گلسار 7,E3101@00000SP04300
روبروی ساختمان آرتین,پیچ سعدی روبروی ساختمان آرتین و کلینیک پاستور,عمومی و اختصاصی,315,قلی پور - فیدر بوسار,E3101@00000SP04301
کوچه فرهنگ,پیربازار گراکه کوچه فرهنگ,عمومى,200,توحید - فیدر پیربازار,E3101@00000SP04302
ترانس دوم  ابتدای کوچه هادی زاده,پیربازار به سمت محمد آباد نبش کوچه هادی زاده ترانس دوم,عمومى,200,توحید - فیدر پیربازار,E3101@00000SP04303
جنب تربیت معلم_خیابان 165,جنب تربیت معلم خیابان 165,عمومى,200,توحید - فیدر بلوار گیلان,E3101@00000SP04304
شهرک بهشتی گلستان 16,شهرک بهشتی گلستان 16 جنب مجتمع سپاه روبروی کوچه اقاقیا,عمومى,315,شهید مقدم - فیدر دیلمان,E3101@00000SP04305
ابتدای آذراندامی باشگاه علیزاده,شهرک بهشتی ابتدای آذراندامی باشگاه علیزاده  نبش گلستان 5,عمومى,400,شهید مقدم - فیدر گلسار 6,E3101@00000SP04306
جوان 1 روبروی کافه دمنوش,بلوار جوان - جوان 1 روبروی کافه دمنوش,عمومى,315,معلم - فیدر انصاری,E3101@00000SP04307
روبروی شیرینی دارک,بلوار عاطفی انتهای کوچه طالبی روبروی شیرینی دارک,عمومى,315,معلم - فیدر انصاری,E3101@00000SP04308
مبارک اباد خیابان شهید رنجبر,مبارک اباد خیابان شهید رنجبر,عمومى,100,توحید - فیدر پیربازار,E3101@00000SP04309
چهار راه یزدانی جاده کانال,کوی حسینی 4راه یزدانی جاده کانال,عمومى,200,قلی پور - فیدر کوی حسینی,E3101@00000SP04310
کماکل داخل کوچه علیزاده,کماکل داخل کوچه علیزاده,عمومى,200,توحید - فیدر پیربازار,E3101@00000SP04311
بوستان 13,منگوده خیابان ولی عصر بوستان 13,عمومى,100,توحید - فیدر پیربازار,E3101@00000SP04312
کوچه کشاورزی,پیربازار کوچه کشاورزی,عمومى,200,توحید - فیدر پیربازار,E3101@00000SP04314
نبش کوچه شقایق,بلوار سمیه روبروی رازقی نبش کوچه شقایق,عمومی و اختصاصی,315,شهید مقدم - فیدر گلسار 7,E3101@00000SP04315
فخب کوچه 14,فخب کوچه 14,عمومى,400,قلی پور - فیدر کوی حسینی,E3101@00000SP04316
رستوران اله تی تی,جاده خمام  رستوران اله تی تی,عمومى,25,توحید - فیدر پیربازار,E3101@00000SP04317
12متری گل مریم,شهرک امام علی 12متری گل مریم,عمومى,200,توحید - فیدر استاد معین,E3101@00000SP04319
دیوار فرودگاه,کویخ جنب دیوار فرودگاه,عمومى,100,پوشش - فیدر خمام,E3101@00000SP04320
کوچه صفرزاده,کفترود کوچه صفرزاده,عمومى,125,توحید - فیدر پیربازار,E3101@00000SP04321
یاسرخدابخشی,حاشیه رودخانه انتهای خیابان 91,عمومى,315,قلی پور - فیدر نواب,E3101@00000SP04323
مهدیان ,پیربازار کوچه مهدیان نبش کوچه حجت اله قربانی,عمومى,100,توحید - فیدر پیربازار,E3101@00000SP04324
وطن دوست,پیرده روبروی پایگاه بسیج,اختصاصی,315,توحید - فیدر پیربازار,E3101@00000SP04325
سه راه مزار,سه راه مزار,عمومى,400,شهید مقدم - فیدر پردیسان,E3101@00000SP04329
داخل پاییزان,بلوار خرمشهر کوچه پاییزان,عمومى,400,شهید مقدم - فیدر پردیسان,E3101@00000SP04330
برنجکوبی حسنی,جاده انزلی روبروی کیاموتور برنجکوبی حسنی,اختصاصی,250,پوشش - فیدر خمام,E3101@00000SP04331
عطری,دهسرا به سمت پستک,عمومى,25,شهید مقدم - فیدر رینگ شهر,E3101@00000SP04333
شرکت پوبر,فخب کوچه سوم,اختصاصی,75,قلی پور - فیدر کوی حسینی,E3101@00000SP04334
مدرسه  پروفسور سمیعی,خیابان میرابوالقاسمی ابتدای وصال,اختصاصی,100,توحید - فیدر استاد معین,E3101@00000SP04335
زکی زاده,میرابوالقاسمی بوستان 12 زمین های زکی زاده,عمومى,315,توحید - فیدر استاد معین,E3101@00000SP04336
رزمندگان,انتهای پارس سوم جنب ساختمان رزمندگان,عمومى,250,شهید مقدم - فیدر پردیسان,E3101@00000SP04337
فروشگاه صابری,جاده انزلی قبل از کیاموتور فروشگاه صابری,اختصاصی,250,پوشش - فیدر خمام,E3101@00000SP04338
پشت نظام مهندسی کوچه دوم ,پشت نظام مهندسی کوچه دوم قبل از باشگاه,عمومى,100,شهید مقدم - فیدر خرمشهر,E3101@00000SP04339
چهارم اسلام آباد ,چهارم اسلام آباد ,عمومى,200,توحید - فیدر پیربازار,E3101@00000SP04340
طش بعد از مسجد,طش بعد از مسجد,عمومى,200,پوشش - فیدر خمام,E3101@00000SP04341
مسجد بیجارخاله,مسجد بیجارخاله,عمومى,200,توحید - فیدر پیربازار,E3101@00000SP04342
میدان ماهی,گالش خیل میدان ماهی,عمومى,100,توحید - فیدر پیربازار,E3101@00000SP04343
ابتدای آذر اندامی,بلوار دیلمان ابتدای آذر اندامی,عمومى,200,شهید مقدم - فیدر گلسار 6,E3101@00000SP04344
مردانی کیوی,بلوار نماز نبش شهرک بهشتی,عمومی و اختصاصی,315,قلی پور - فیدر فرهنگیان,E3101@00000SP04345
ترانس دوم خیابان 190 عمران مسکن,گلسار خیابان 190 ,اختصاصی,315,توحید - فیدر بلوار گیلان,E3101@00000SP04346
مبارک آباد-کوچه نصیر زاده,مبارک آباد-کوچه نصیر زاده,عمومى,200,توحید - فیدر پیربازار,E3101@00000SP04347
برنج تک خوشه,روبروی مسجد برنج تک خوشه,اختصاصی,250,توحید - فیدر پیربازار,E3101@00000SP04348
تندیس,گلسار خیابان 177 مجتمع تندیس,عمومی و اختصاصی,400,توحید - فیدر گلایل,E3101@00000SP04349
ماهی رودخان کوچه پنجم,ماهی رودخان کوچه پنجم,عمومى,200,شهید مقدم - فیدر پردیسان,E3101@00000SP04350
شاعری,پل پستک,اختصاصی,75,شهید مقدم - فیدر رینگ شهر,E3101@00000SP04351
مجتمع سپاه,خیابان شهدا مجتمع سپاه,عمومی و اختصاصی,250,شهید مقدم - فیدر دیانتی,E3101@00000SP04353
نسرین صادقی,روبروی پاسگاه پیربازار,اختصاصی,200,توحید - فیدر پیربازار,E3101@00000SP04356
زورمند,انتهای پارس یک میدان باب الحوائج,عمومى,200,شهید مقدم - فیدر پردیسان,E3101@00000SP04360
نبش کوچه مرادیان,بوسار نبش کوچه مرادیان,عمومى,315,قلی پور - فیدر بوسار,E3101@00000SP04361
اسدی,انتهای خیابان شهید احمدی ,عمومى,15,توحید - فیدر پیربازار,E3101@00000SP04362
بابایی(مولایی),خیابان شهدا کوچه شهید مولایی,عمومى,200,سیار جانبازان - فیدر جانبازان,E3101@00000SP04363
صاحب(کوی هماهنگ),متحدین روبروی کوچه 27 کوی هماهنگ,عمومى,200,شهید مقدم - فیدر دیانتی,E3101@00000SP04364
گیلانه شرقی,گیلانه شرقی,عمومى,200,توحید - فیدر گلایل,E3101@00000SP04365
یاس 1,کوی حسینی کوچه 39 ابتدای کانال,عمومى,315,قلی پور - فیدر کوی حسینی,E3101@00000SP04366
 روبروی کوچه 15,گلسار خیابان 192 بیست متری گاز روبروی کوچه 15,عمومى,315,توحید - فیدر بیست متری گاز,E3101@00000SP04372
سپاه2,مجتمع ابریشم فاز 6,عمومى,250,شهید مقدم - فیدر پردیسان,E3101@00000SP04375
کوچه پنجم,"استاد معین،کوچه شانزدهم،کوچه پنجم ",عمومى,200,توحید - فیدر گلایل,E3101@00000SP04378
رستوران میررازقی,رستوران میررازقی نبوت 43,اختصاصی,100,شهید مقدم - فیدر رینگ شهر,E3101@00000SP04381
حسین زاده,پیله داربن کوچه بهشتی,اختصاصی,100,توحید - فیدر پیربازار,E3101@00000SP04383
لاتوم,انتهای شهرک امام علي,اختصاصی,100,توحید - فیدر استاد معین,E3101@00000SP04385
فروشگاه احمدی دیلمان,فروشگاه احمدی دیلمان,اختصاصی,250,شهید مقدم - فیدر گلسار 6,E3101@00000SP04386
مجموعه ورزشی رستگار,پیله داربن روبروی تالار آبشار,اختصاصی,160,توحید - فیدر تخته پل,E3101@00000SP04387
کوچه ایثار,خیابان ارشاد- کوچه ایثار,عمومى,315,شهید مقدم - فیدر دیانتی,E3101@00000SP04390
